Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2013,2013,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,227,1279114
,2013,2013,15-24 years,15-24,Female,F,Black or African American,2054-5,1497,3630281
,2013,2013,15-24 years,15-24,Female,F,White,2106-3,5738,16146149
Total,2013,2013,15-24 years,15-24,Female,F,,,7622,21429247
,2013,2013,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,388,395848
,2013,2013,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,555,1316120
,2013,2013,15-24 years,15-24,Male,M,Black or African American,2054-5,5041,3720395
,2013,2013,15-24 years,15-24,Male,M,White,2106-3,14880,17092792
Total,2013,2013,15-24 years,15-24,Male,M,,,20864,22525155
Total,2013,2013,15-24 years,15-24,,,,,28486,43954402
,2013,2013,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,308,329279
,2013,2013,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,418,1628431
,2013,2013,25-34 years,25-34,Female,F,Black or African American,2054-5,2933,3224131
,2013,2013,25-34 years,25-34,Female,F,White,2106-3,10342,16021255
Total,2013,2013,25-34 years,25-34,Female,F,,,14001,21203096
,2013,2013,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,615,356169
,2013,2013,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,814,1503033
,2013,2013,25-34 years,25-34,Male,M,Black or African American,2054-5,6598,3018776
,2013,2013,25-34 years,25-34,Male,M,White,2106-3,23435,16763513
Total,2013,2013,25-34 years,25-34,Male,M,,,31462,21641491
Total,2013,2013,25-34 years,25-34,,,,,45463,42844587
,2013,2013,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,496,287786
,2013,2013,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,814,1580422
,2013,2013,35-44 years,35-44,Female,F,Black or African American,2054-5,5545,2950264
,2013,2013,35-44 years,35-44,Female,F,White,2106-3,19646,15488957
Total,2013,2013,35-44 years,35-44,Female,F,,,26501,20307429
,2013,2013,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,730,298691
,2013,2013,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1244,1405065
,2013,2013,35-44 years,35-44,Male,M,Black or African American,2054-5,8214,2628985
,2013,2013,35-44 years,35-44,Male,M,White,2106-3,32884,15812520
Total,2013,2013,35-44 years,35-44,Male,M,,,43072,20145261
Total,2013,2013,35-44 years,35-44,,,,,69573,40452690
,2013,2013,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,925,276505
,2013,2013,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1676,1309454
,2013,2013,45-54 years,45-54,Female,F,Black or African American,2054-5,13830,3043355
,2013,2013,45-54 years,45-54,Female,F,White,2106-3,53296,17569134
Total,2013,2013,45-54 years,45-54,Female,F,,,69727,22198448
,2013,2013,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1375,271530
,2013,2013,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2551,1157519
,2013,2013,45-54 years,45-54,Male,M,Black or African American,2054-5,18281,2693002
,2013,2013,45-54 years,45-54,Male,M,White,2106-3,85790,17447033
Total,2013,2013,45-54 years,45-54,Male,M,,,107997,21569084
Total,2013,2013,45-54 years,45-54,,,,,177724,43767532
,2013,2013,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1288,208893
,2013,2013,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3056,1064048
,2013,2013,55-64 years,55-64,Female,F,Black or African American,2054-5,24043,2498661
,2013,2013,55-64 years,55-64,Female,F,White,2106-3,103415,16588074
Total,2013,2013,55-64 years,55-64,Female,F,,,131802,20359676
,2013,2013,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1815,193548
,2013,2013,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,4574,883729
,2013,2013,55-64 years,55-64,Male,M,Black or African American,2054-5,34066,2092483
,2013,2013,55-64 years,55-64,Male,M,White,2106-3,165870,15786995
Total,2013,2013,55-64 years,55-64,Male,M,,,206325,18956755
Total,2013,2013,55-64 years,55-64,,,,,338127,39316431
,2013,2013,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1410,107248
,2013,2013,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,4329,614960
,2013,2013,65-74 years,65-74,Female,F,Black or African American,2054-5,26310,1378030
,2013,2013,65-74 years,65-74,Female,F,White,2106-3,164482,11318886
Total,2013,2013,65-74 years,65-74,Female,F,,,196531,13419124
,2013,2013,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1758,95237
,2013,2013,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,5680,504244
,2013,2013,65-74 years,65-74,Male,M,Black or African American,2054-5,31820,1038392
,2013,2013,65-74 years,65-74,Male,M,White,2106-3,218640,10159769
Total,2013,2013,65-74 years,65-74,Male,M,,,257898,11797642
Total,2013,2013,65-74 years,65-74,,,,,454429,25216766
,2013,2013,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1532,47550
,2013,2013,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,7342,312870
,2013,2013,75-84 years,75-84,Female,F,Black or African American,2054-5,31921,722525
,2013,2013,75-84 years,75-84,Female,F,White,2106-3,268878,6603057
Total,2013,2013,75-84 years,75-84,Female,F,,,309673,7686002
,2013,2013,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1482,35081
,2013,2013,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,7449,229913
,2013,2013,75-84 years,75-84,Male,M,Black or African American,2054-5,27952,439331
,2013,2013,75-84 years,75-84,Male,M,White,2106-3,278457,5056192
Total,2013,2013,75-84 years,75-84,Male,M,,,315340,5760517
Total,2013,2013,75-84 years,75-84,,,,,625013,13446519
,2013,2013,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1403,17519
,2013,2013,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,10451,126827
,2013,2013,85+ years,85+,Female,F,Black or African American,2054-5,37930,317960
,2013,2013,85+ years,85+,Female,F,White,2106-3,470952,3536701
Total,2013,2013,85+ years,85+,Female,F,,,520736,3999007
,2013,2013,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,856,9475
,2013,2013,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,7385,72810
,2013,2013,85+ years,85+,Male,M,Black or African American,2054-5,17664,129339
,2013,2013,85+ years,85+,Male,M,White,2106-3,278557,1830158
Total,2013,2013,85+ years,85+,Male,M,,,304462,2041782
Total,2013,2013,85+ years,85+,,,,,825198,6040789
,2013,2013,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,1,Not Applicable
,2013,2013,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2013,2013,Not Stated,NS,Female,F,Black or African American,2054-5,9,Not Applicable
,2013,2013,Not Stated,NS,Female,F,White,2106-3,26,Not Applicable
Total,2013,2013,Not Stated,NS,Female,F,,,37,Not Applicable
,2013,2013,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,3,Not Applicable
,2013,2013,Not Stated,NS,Male,M,Black or African American,2054-5,17,Not Applicable
,2013,2013,Not Stated,NS,Male,M,White,2106-3,75,Not Applicable
Total,2013,2013,Not Stated,NS,Male,M,,,95,Not Applicable
Total,2013,2013,Not Stated,NS,,,,,132,Not Applicable
Total,2013,2013,,,,,,,2596993,316128839
,2014,2014,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,158,38303
,2014,2014,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,409,120793
,2014,2014,< 1 year,1,Female,F,Black or African American,2054-5,3176,332113
,2014,2014,< 1 year,1,Female,F,White,2106-3,6586,1439284
Total,2014,2014,< 1 year,1,Female,F,,,10329,1930493
,2014,2014,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,202,39631
,2014,2014,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,487,126730
,2014,2014,< 1 year,1,Male,M,Black or African American,2054-5,3900,346533
,2014,2014,< 1 year,1,Male,M,White,2106-3,8297,1504963
Total,2014,2014,< 1 year,1,Male,M,,,12886,2017857
Total,2014,2014,< 1 year,1,,,,,23215,3948350
,2014,2014,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,31,152033
,2014,2014,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,61,489083
,2014,2014,1-4 years,4-Jan,Female,F,Black or African American,2054-5,426,1333368
,2014,2014,1-4 years,4-Jan,Female,F,White,2106-3,1140,5816178
Total,2014,2014,1-4 years,4-Jan,Female,F,,,1658,7790662
,2014,2014,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,64,156092
,2014,2014,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,73,509701
,2014,2014,1-4 years,4-Jan,Male,M,Black or African American,2054-5,583,1382804
,2014,2014,1-4 years,4-Jan,Male,M,White,2106-3,1452,6089274
Total,2014,2014,1-4 years,4-Jan,Male,M,,,2172,8137871
Total,2014,2014,1-4 years,4-Jan,,,,,3830,15928533
,2014,2014,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,41,379194
,2014,2014,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,80,1229924
,2014,2014,5-14 years,14-May,Female,F,Black or African American,2054-5,479,3348813
,2014,2014,5-14 years,14-May,Female,F,White,2106-3,1522,15203493
Total,2014,2014,5-14 years,14-May,Female,F,,,2122,20161424
,2014,2014,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,48,389353
,2014,2014,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,124,1257123
,2014,2014,5-14 years,14-May,Male,M,Black or African American,2054-5,725,3458188
,2014,2014,5-14 years,14-May,Male,M,White,2106-3,2231,15924984
Total,2014,2014,5-14 years,14-May,Male,M,,,3128,21029648
Total,2014,2014,5-14 years,14-May,,,,,5250,41191072
,2014,2014,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,176,375735
,2014,2014,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,235,1321669
,2014,2014,15-24 years,15-24,Female,F,Black or African American,2054-5,1544,3629819
,2014,2014,15-24 years,15-24,Female,F,White,2106-3,5719,16129148
Total,2014,2014,15-24 years,15-24,Female,F,,,7674,21456371
,2014,2014,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,410,395097
,2014,2014,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,608,1359347
,2014,2014,15-24 years,15-24,Male,M,Black or African American,2054-5,5058,3734920
,2014,2014,15-24 years,15-24,Male,M,White,2106-3,15041,17034086
Total,2014,2014,15-24 years,15-24,Male,M,,,21117,22523450
Total,2014,2014,15-24 years,15-24,,,,,28791,43979821
,2014,2014,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,295,335295
,2014,2014,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,422,1701770
,2014,2014,25-34 years,25-34,Female,F,Black or African American,2054-5,2927,3304914
,2014,2014,25-34 years,25-34,Female,F,White,2106-3,10836,16204311
Total,2014,2014,25-34 years,25-34,Female,F,,,14480,21546290
,2014,2014,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,648,361841
,2014,2014,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,855,1579504
,2014,2014,25-34 years,25-34,Male,M,Black or African American,2054-5,6622,3122333
,2014,2014,25-34 years,25-34,Male,M,White,2106-3,24572,16906536
Total,2014,2014,25-34 years,25-34,Male,M,,,32697,21970214
Total,2014,2014,25-34 years,25-34,,,,,47177,43516504
,2014,2014,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,521,291074
,2014,2014,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,803,1634483
,2014,2014,35-44 years,35-44,Female,F,Black or African American,2054-5,5787,2984282
,2014,2014,35-44 years,35-44,Female,F,White,2106-3,20192,15444065
Total,2014,2014,35-44 years,35-44,Female,F,,,27303,20353904
,2014,2014,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,799,302170
,2014,2014,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1202,1449054
,2014,2014,35-44 years,35-44,Male,M,Black or African American,2054-5,8210,2661111
,2014,2014,35-44 years,35-44,Male,M,White,2106-3,33482,15746894
Total,2014,2014,35-44 years,35-44,Male,M,,,43693,20159229
Total,2014,2014,35-44 years,35-44,,,,,70996,40513133
,2014,2014,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,982,277173
,2014,2014,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1671,1366299
,2014,2014,45-54 years,45-54,Female,F,Black or African American,2054-5,13804,3028774
,2014,2014,45-54 years,45-54,Female,F,White,2106-3,53083,17361561
Total,2014,2014,45-54 years,45-54,Female,F,,,69540,22033807
,2014,2014,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1394,274161
,2014,2014,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2558,1204948
,2014,2014,45-54 years,45-54,Male,M,Black or African American,2054-5,18011,2680947
,2014,2014,45-54 years,45-54,Male,M,White,2106-3,84414,17264988
Total,2014,2014,45-54 years,45-54,Male,M,,,106377,21425044
Total,2014,2014,45-54 years,45-54,,,,,175917,43458851
,2014,2014,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1321,217910
,2014,2014,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3146,1111024
,2014,2014,55-64 years,55-64,Female,F,Black or African American,2054-5,25129,2577838
,2014,2014,55-64 years,55-64,Female,F,White,2106-3,107014,16848927
Total,2014,2014,55-64 years,55-64,Female,F,,,136610,20755699
,2014,2014,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1981,201175
,2014,2014,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,4808,924813
,2014,2014,55-64 years,55-64,Male,M,Black or African American,2054-5,34843,2162149
,2014,2014,55-64 years,55-64,Male,M,White,2106-3,170566,16033745
Total,2014,2014,55-64 years,55-64,Male,M,,,212198,19321882
Total,2014,2014,55-64 years,55-64,,,,,348808,40077581
,2014,2014,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1567,114498
,2014,2014,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,4691,669694
,2014,2014,65-74 years,65-74,Female,F,Black or African American,2054-5,27456,1460270
,2014,2014,65-74 years,65-74,Female,F,White,2106-3,169179,11804783
Total,2014,2014,65-74 years,65-74,Female,F,,,202893,14049245
,2014,2014,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1863,101793
,2014,2014,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,6037,545296
,2014,2014,65-74 years,65-74,Male,M,Black or African American,2054-5,33499,1099266
,2014,2014,65-74 years,65-74,Male,M,White,2106-3,227249,10602690
Total,2014,2014,65-74 years,65-74,Male,M,,,268648,12349045
Total,2014,2014,65-74 years,65-74,,,,,471541,26398290
,2014,2014,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1620,50208
,2014,2014,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,7416,331448
,2014,2014,75-84 years,75-84,Female,F,Black or African American,2054-5,32267,740614
,2014,2014,75-84 years,75-84,Female,F,White,2106-3,266771,6667042
Total,2014,2014,75-84 years,75-84,Female,F,,,308074,7789312
,2014,2014,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1529,37312
,2014,2014,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,7563,248143
,2014,2014,75-84 years,75-84,Male,M,Black or African American,2054-5,28161,456225
,2014,2014,75-84 years,75-84,Male,M,White,2106-3,279177,5151698
Total,2014,2014,75-84 years,75-84,Male,M,,,316430,5893378
Total,2014,2014,75-84 years,75-84,,,,,624504,13682690
,2014,2014,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1467,18585
,2014,2014,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,10949,137805
,2014,2014,85+ years,85+,Female,F,Black or African American,2054-5,38227,327938
,2014,2014,85+ years,85+,Female,F,White,2106-3,466798,3569034
Total,2014,2014,85+ years,85+,Female,F,,,517441,4053362
,2014,2014,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,891,10348
,2014,2014,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,7370,79563
,2014,2014,85+ years,85+,Male,M,Black or African American,2054-5,18100,136175
,2014,2014,85+ years,85+,Male,M,White,2106-3,282424,1882783
Total,2014,2014,85+ years,85+,Male,M,,,308785,2108869
Total,2014,2014,85+ years,85+,,,,,826226,6162231
,2014,2014,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2014,2014,Not Stated,NS,Female,F,Black or African American,2054-5,5,Not Applicable
,2014,2014,Not Stated,NS,Female,F,White,2106-3,47,Not Applicable
Total,2014,2014,Not Stated,NS,Female,F,,,53,Not Applicable
,2014,2014,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,1,Not Applicable
,2014,2014,Not Stated,NS,Male,M,Black or African American,2054-5,21,Not Applicable
,2014,2014,Not Stated,NS,Male,M,White,2106-3,88,Not Applicable
Total,2014,2014,Not Stated,NS,Male,M,,,110,Not Applicable
Total,2014,2014,Not Stated,NS,,,,,163,Not Applicable
Total,2014,2014,,,,,,,2626418,318857056
,2015,2015,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,167,38745
,2015,2015,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,424,118402
,2015,2015,< 1 year,1,Female,F,Black or African American,2054-5,3256,335670
,2015,2015,< 1 year,1,Female,F,White,2106-3,6600,1450087
Total,2015,2015,< 1 year,1,Female,F,,,10447,1942904
,2015,2015,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,196,40300
,2015,2015,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,545,124482
,2015,2015,< 1 year,1,Male,M,Black or African American,2054-5,4033,350636
,2015,2015,< 1 year,1,Male,M,White,2106-3,8234,1519716
Total,2015,2015,< 1 year,1,Male,M,,,13008,2035134
Total,2015,2015,< 1 year,1,,,,,23455,3978038
,2015,2015,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,40,151067
,2015,2015,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,74,493101
,2015,2015,1-4 years,4-Jan,Female,F,Black or African American,2054-5,428,1335601
,2015,2015,1-4 years,4-Jan,Female,F,White,2106-3,1142,5807007
Total,2015,2015,1-4 years,4-Jan,Female,F,,,1684,7786776
,2015,2015,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,55,156220
,2015,2015,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,78,516944
,2015,2015,1-4 years,4-Jan,Male,M,Black or African American,2054-5,632,1384327
,2015,2015,1-4 years,4-Jan,Male,M,White,2106-3,1516,6084976
Total,2015,2015,1-4 years,4-Jan,Male,M,,,2281,8142467
Total,2015,2015,1-4 years,4-Jan,,,,,3965,15929243
,2015,2015,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,52,380015
,2015,2015,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,92,1258728
,2015,2015,5-14 years,14-May,Female,F,Black or African American,2054-5,504,3349846
,2015,2015,5-14 years,14-May,Female,F,White,2106-3,1610,15141397
Total,2015,2015,5-14 years,14-May,Female,F,,,2258,20129986
,2015,2015,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,59,389420
,2015,2015,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,133,1287949
,2015,2015,5-14 years,14-May,Male,M,Black or African American,2054-5,725,3456533
,2015,2015,5-14 years,14-May,Male,M,White,2106-3,2236,15845618
Total,2015,2015,5-14 years,14-May,Male,M,,,3153,20979520
Total,2015,2015,5-14 years,14-May,,,,,5411,41109506
,2015,2015,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,177,375603
,2015,2015,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,259,1356700
,2015,2015,15-24 years,15-24,Female,F,Black or African American,2054-5,1653,3607130
,2015,2015,15-24 years,15-24,Female,F,White,2106-3,6059,16043062
Total,2015,2015,15-24 years,15-24,Female,F,,,8148,21382495
,2015,2015,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,398,393497
,2015,2015,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,678,1394033
,2015,2015,15-24 years,15-24,Male,M,Black or African American,2054-5,5623,3726552
,2015,2015,15-24 years,15-24,Male,M,White,2106-3,15647,16951639
Total,2015,2015,15-24 years,15-24,Male,M,,,22346,22465721
Total,2015,2015,15-24 years,15-24,,,,,30494,43848216
,2015,2015,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,356,339972
,2015,2015,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,465,1771495
,2015,2015,25-34 years,25-34,Female,F,Black or African American,2054-5,3142,3382985
,2015,2015,25-34 years,25-34,Female,F,White,2106-3,11773,16343612
Total,2015,2015,25-34 years,25-34,Female,F,,,15736,21838064
,2015,2015,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,703,367330
,2015,2015,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,922,1655396
,2015,2015,25-34 years,25-34,Male,M,Black or African American,2054-5,7384,3224785
,2015,2015,25-34 years,25-34,Male,M,White,2106-3,26772,17051627
Total,2015,2015,25-34 years,25-34,Male,M,,,35781,22299138
Total,2015,2015,25-34 years,25-34,,,,,51517,44137202
,2015,2015,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,502,294511
,2015,2015,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,860,1683702
,2015,2015,35-44 years,35-44,Female,F,Black or African American,2054-5,5779,3013072
,2015,2015,35-44 years,35-44,Female,F,White,2106-3,20277,15394921
Total,2015,2015,35-44 years,35-44,Female,F,,,27418,20386206
,2015,2015,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,863,306732
,2015,2015,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1260,1490424
,2015,2015,35-44 years,35-44,Male,M,Black or African American,2054-5,8767,2690744
,2015,2015,35-44 years,35-44,Male,M,White,2106-3,34780,15715677
Total,2015,2015,35-44 years,35-44,Male,M,,,45670,20203577
Total,2015,2015,35-44 years,35-44,,,,,73088,40589783
,2015,2015,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,983,277510
,2015,2015,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1808,1416779
,2015,2015,45-54 years,45-54,Female,F,Black or African American,2054-5,13506,3021717
,2015,2015,45-54 years,45-54,Female,F,White,2106-3,52650,17173379
Total,2015,2015,45-54 years,45-54,Female,F,,,68947,21889385
,2015,2015,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1499,275803
,2015,2015,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2562,1248191
,2015,2015,45-54 years,45-54,Male,M,Black or African American,2054-5,18132,2673905
,2015,2015,45-54 years,45-54,Male,M,White,2106-3,83354,17100877
Total,2015,2015,45-54 years,45-54,Male,M,,,105547,21298776
Total,2015,2015,45-54 years,45-54,,,,,174494,43188161
,2015,2015,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1412,226940
,2015,2015,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,3328,1155370
,2015,2015,55-64 years,55-64,Female,F,Black or African American,2054-5,25736,2654398
,2015,2015,55-64 years,55-64,Female,F,White,2106-3,109683,17126364
Total,2015,2015,55-64 years,55-64,Female,F,,,140159,21163072
,2015,2015,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,2085,209714
,2015,2015,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,4904,965484
,2015,2015,55-64 years,55-64,Male,M,Black or African American,2054-5,35980,2230799
,2015,2015,55-64 years,55-64,Male,M,White,2106-3,174657,16308750
Total,2015,2015,55-64 years,55-64,Male,M,,,217626,19714747
Total,2015,2015,55-64 years,55-64,,,,,357785,40877819
,2015,2015,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1660,122035
,2015,2015,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,5114,725572
,2015,2015,65-74 years,65-74,Female,F,Black or African American,2054-5,28779,1543609
,2015,2015,65-74 years,65-74,Female,F,White,2106-3,177116,12266953
Total,2015,2015,65-74 years,65-74,Female,F,,,212669,14658169
,2015,2015,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1996,108443
,2015,2015,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,6630,586368
,2015,2015,65-74 years,65-74,Male,M,Black or African American,2054-5,35414,1164256
,2015,2015,65-74 years,65-74,Male,M,White,2106-3,238307,11033281
Total,2015,2015,65-74 years,65-74,Male,M,,,282347,12892348
Total,2015,2015,65-74 years,65-74,,,,,495016,27550517
,2015,2015,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1687,52843
,2015,2015,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,7930,350343
,2015,2015,75-84 years,75-84,Female,F,Black or African American,2054-5,32867,762579
,2015,2015,75-84 years,75-84,Female,F,White,2106-3,271236,6733838
Total,2015,2015,75-84 years,75-84,Female,F,,,313720,7899603
,2015,2015,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1661,39823
,2015,2015,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,8239,266500
,2015,2015,75-84 years,75-84,Male,M,Black or African American,2054-5,29358,473171
,2015,2015,75-84 years,75-84,Male,M,White,2106-3,284588,5244077
Total,2015,2015,75-84 years,75-84,Male,M,,,323846,6023571
Total,2015,2015,75-84 years,75-84,,,,,637566,13923174
,2015,2015,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1529,20022
,2015,2015,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,12219,150073
,2015,2015,85+ years,85+,Female,F,Black or African American,2054-5,39747,338522
,2015,2015,85+ years,85+,Female,F,White,2106-3,484502,3604246
Total,2015,2015,85+ years,85+,Female,F,,,537997,4112863
,2015,2015,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,936,11308
,2015,2015,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,8153,86681
,2015,2015,85+ years,85+,Male,M,Black or African American,2054-5,18601,142359
,2015,2015,85+ years,85+,Male,M,White,2106-3,294014,1933950
Total,2015,2015,85+ years,85+,Male,M,,,321704,2174298
Total,2015,2015,85+ years,85+,,,,,859701,6287161
,2015,2015,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2015,2015,Not Stated,NS,Female,F,Black or African American,2054-5,5,Not Applicable
,2015,2015,Not Stated,NS,Female,F,White,2106-3,37,Not Applicable
Total,2015,2015,Not Stated,NS,Female,F,,,43,Not Applicable
,2015,2015,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,3,Not Applicable
,2015,2015,Not Stated,NS,Male,M,Black or African American,2054-5,21,Not Applicable
,2015,2015,Not Stated,NS,Male,M,White,2106-3,71,Not Applicable
Total,2015,2015,Not Stated,NS,Male,M,,,95,Not Applicable
Total,2015,2015,Not Stated,NS,,,,,138,Not Applicable
Total,2015,2015,,,,,,,2712630,321418820
,2016,2016,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,141,38168
,2016,2016,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,441,122126
